ISO 3,#,English
X01,0,
X02,0,
X03,0,
X04,0,
X05,0,
X06,0,
X07,0,
X08,0,
X09,0,
X10,0,
X11,0,
X12,0,
X13,0,
X14,0,
X15,0,
X16,0,
X17,0,
X18,0,
X19,0,
X20,0,
AFG,1,Afghanistan  
ALB,2,Albania
DZA,3,Algeria
ASM,4,American Samoa
AND,5,Andorra
AGO,6,Angola 
AIA,7,Anguilla
ATG,8,Antigua and Barbuda
ARG,9,Argentina
ARM,10,Armenia  
ABW,11,Aruba
AUS,12,Australia  
AUT,13,Austria  
AZE,14,Azerbaijan
BHS,15,Bahamas
BHR,16,Bahrain
BGD,17,Bangladesh  
BRB,18,Barbados
BLR,19,Belarus  
BEL,20,Belgium
BLZ,21,Belize  
BEN,22,Benin
BMU,23,Bermuda
BTN,24,Bhutan  
BOL,25,Bolivia (plurinational state of)
BES,26,"Bonaire, Sint Eustatius and Saba"
BIH,27,Bosnia and Herzegovina  
BWA,28,Botswana
BRA,29,Brazil  
VGB,30,British Virgin Islands
BRN,31,Brunei Darussalam  
BGR,32,Bulgaria  
BFA,33,Burkina Faso  
BDI,34,Burundi  
KHM,35,Cambodia
CMR,36,Cameroon
CAN,37,Canada
CPV,38,Cabo Verde
CYM,39,Cayman Islands
CAF,40,Central African Republic  
TCD,41,Chad  
CHL,42,Chile  
CHN,43,China
COL,44,Colombia  
COM,45,Comoros
COG,46,Congo  
COK,47,Cook Islands
CRI,48,Costa Rica
CIV,49,Côte d'Ivoire  
HRV,50,Croatia
CUB,51,Cuba
CUW,52,Curaçao
CYP,53,Cyprus
CZE,54,Czechia
PRK,55,Democratic People's Republic of Korea
COD,56,Democratic Republic of the Congo
DNK,57,Denmark
DJI,58,Djibouti
DMA,59,Dominica
DOM,60,Dominican Republic  
ECU,61,Ecuador  
EGY,62,Egypt
SLV,63,El Salvador  
GNQ,64,Equatorial Guinea
ERI,65,Eritrea
EST,66,Estonia  
ETH,67,Ethiopia
FRO,68,Faeroe Islands
FLK,69,Falkland Islands (Malvinas)
FJI,70,Fiji
FIN,71,Finland
FRA,72,France
GUF,73,French Guiana
PYF,74,French Polynesia  
GAB,75,Gabon
GMB,76,Gambia  
GEO,77,Georgia  
DEU,78,Germany  
GHA,79,Ghana
GIB,80,Gibraltar
GRC,81,Greece  
GRL,82,Greenland
GRD,83,Grenada
GLP,84,Guadeloupe
GUM,85,Guam
GTM,86,Guatemala
